,comment,rating,sentimen,cleaned_comment,case_folding,text_tokens,text_stopword
285,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
286,Tiktok bagus untuk hiburan tpi.update trus tiap hari sya kasih bintang 3,3,0,Tiktokbagusuntukhiburantpiupdatetrustiapharisyakasihbintang,tiktokbagusuntukhiburantpiupdatetrustiapharisyakasihbintang,['tiktokbagusuntukhiburantpiupdatetrustiapharisyakasihbintang'],['tiktokbagusuntukhiburantpiupdatetrustiapharisyakasihbintang']
287,D tiktok lite uda 2k tapi belum bisa liat live akun lain. Kenapa ya. Jadi tiktok lite saya hapus. Jadi saya dounwlod aplikasi tiktok lain cuma engga bisa d instal kenapa ya?,4,1,DtiktokliteudaktapibelumbisaliatliveakunlainKenapayaJaditiktoklitesayahapusJadisayadounwlodaplikasitiktoklaincumaenggabisadinstalkenapaya,dtiktokliteudaktapibelumbisaliatliveakunlainkenapayajaditiktoklitesayahapusjadisayadounwlodaplikasitiktoklaincumaenggabisadinstalkenapaya,['dtiktokliteudaktapibelumbisaliatliveakunlainkenapayajaditiktoklitesayahapusjadisayadounwlodaplikasitiktoklaincumaenggabisadinstalkenapaya'],['dtiktokliteudaktapibelumbisaliatliveakunlainkenapayajaditiktoklitesayahapusjadisayadounwlodaplikasitiktoklaincumaenggabisadinstalkenapaya']
288,aq suka tik tok tapi sekarang tik tok susah gk bisa di perbaharui.,2,-1,aqsukatiktoktapisekarangtiktoksusahgkbisadiperbaharui,aqsukatiktoktapisekarangtiktoksusahgkbisadiperbaharui,['aqsukatiktoktapisekarangtiktoksusahgkbisadiperbaharui'],['aqsukatiktoktapisekarangtiktoksusahgkbisadiperbaharui']
289,5 Bn,5,1,Bn,bn,['bn'],['bn']
290,Mantap tik tok cuman banyak yang gak jelas,5,1,Mantaptiktokcumanbanyakyanggakjelas,mantaptiktokcumanbanyakyanggakjelas,['mantaptiktokcumanbanyakyanggakjelas'],['mantaptiktokcumanbanyakyanggakjelas']
291,saya mamu puya pacar,5,1,sayamamupuyapacar,sayamamupuyapacar,['sayamamupuyapacar'],['sayamamupuyapacar']
292,Bagus lah,5,1,Baguslah,baguslah,['baguslah'],['baguslah']
293,Alhamdulilah sih Ada nya tik tok bisa membantu mengobati rindu ku yg lagi cari rejeki di negri onta Makasih tik tok 😘🥰🥰🥰,5,1,AlhamdulilahsihAdanyatiktokbisamembantumengobatirindukuyglagicarirejekidinegriontaMakasihtiktok,alhamdulilahsihadanyatiktokbisamembantumengobatirindukuyglagicarirejekidinegriontamakasihtiktok,['alhamdulilahsihadanyatiktokbisamembantumengobatirindukuyglagicarirejekidinegriontamakasihtiktok'],['alhamdulilahsihadanyatiktokbisamembantumengobatirindukuyglagicarirejekidinegriontamakasihtiktok']
294,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
295,Kenapa flowers saya udah 1000 tapi tidak bisa melakukan live coba perbaiki yaaa🗿,5,1,Kenapaflowerssayaudahtapitidakbisamelakukanlivecobaperbaikiyaaa,kenapaflowerssayaudahtapitidakbisamelakukanlivecobaperbaikiyaaa,['kenapaflowerssayaudahtapitidakbisamelakukanlivecobaperbaikiyaaa'],['kenapaflowerssayaudahtapitidakbisamelakukanlivecobaperbaikiyaaa']
296,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
297,"Ini tiktok tiap hari di update, gila",1,-1,Initiktoktiapharidiupdategila,initiktoktiapharidiupdategila,['initiktoktiapharidiupdategila'],['initiktoktiapharidiupdategila']
298,Mantap bagussss,5,1,Mantapbagussss,mantapbagussss,['mantapbagussss'],['mantapbagussss']
299,Sangat menghibur,4,1,Sangatmenghibur,sangatmenghibur,['sangatmenghibur'],['sangatmenghibur']
300,Sangat membantu terima kasih😊🤗,5,1,Sangatmembantuterimakasih,sangatmembantuterimakasih,['sangatmembantuterimakasih'],['sangatmembantuterimakasih']
301,Tidak bisa mendonlod nya,5,1,Tidakbisamendonlodnya,tidakbisamendonlodnya,['tidakbisamendonlodnya'],['tidakbisamendonlodnya']
302,Simpan,5,1,Simpan,simpan,['simpan'],['simpan']
303,Jos,5,1,Jos,jos,['jos'],['jos']
304,Ok,4,1,Ok,ok,['ok'],[]
305,Kokjk .,5,1,Kokjk,kokjk,['kokjk'],['kokjk']
306,ini knp di play store ada 2 tiktok? (bukan tiktok lite),1,-1,iniknpdiplaystoreadatiktokbukantiktoklite,iniknpdiplaystoreadatiktokbukantiktoklite,['iniknpdiplaystoreadatiktokbukantiktoklite'],['iniknpdiplaystoreadatiktokbukantiktoklite']
307,Tiktok duplikat memang oke 👍👍👍,5,1,Tiktokduplikatmemangoke,tiktokduplikatmemangoke,['tiktokduplikatmemangoke'],['tiktokduplikatmemangoke']
308,Nice,5,1,Nice,nice,['nice'],['nice']
309,Saya suka sekali Tik Tok bisa hibur saya,3,0,SayasukasekaliTikTokbisahibursaya,sayasukasekalitiktokbisahibursaya,['sayasukasekalitiktokbisahibursaya'],['sayasukasekalitiktokbisahibursaya']
310,aaaaaaaalos,5,1,aaaaaaaalos,aaaaaaaalos,['aaaaaaaalos'],['aaaaaaaalos']
311,Aku kasi Lima bintang karna bagus dan bermanfaat 👍😅🫴,5,1,AkukasiLimabintangkarnabagusdanbermanfaat,akukasilimabintangkarnabagusdanbermanfaat,['akukasilimabintangkarnabagusdanbermanfaat'],['akukasilimabintangkarnabagusdanbermanfaat']
312,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
313,🎃,5,1,,,[],[]
314,I Like This,5,1,ILikeThis,ilikethis,['ilikethis'],['ilikethis']
315,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
316,Kenapa tiktok jadi gak bisa posting ulang,3,0,Kenapatiktokjadigakbisapostingulang,kenapatiktokjadigakbisapostingulang,['kenapatiktokjadigakbisapostingulang'],['kenapatiktokjadigakbisapostingulang']
317,Saya sangat senang punya aplikasi tiktok,5,1,Sayasangatsenangpunyaaplikasitiktok,sayasangatsenangpunyaaplikasitiktok,['sayasangatsenangpunyaaplikasitiktok'],['sayasangatsenangpunyaaplikasitiktok']
318,Aplikasi ini sangat bagus 👍👍💗,5,1,Aplikasiinisangatbagus,aplikasiinisangatbagus,['aplikasiinisangatbagus'],['aplikasiinisangatbagus']
319,aplikasi banyak bug,1,-1,aplikasibanyakbug,aplikasibanyakbug,['aplikasibanyakbug'],['aplikasibanyakbug']
320,kurang bagus sih 😁,4,1,kurangbagussih,kurangbagussih,['kurangbagussih'],['kurangbagussih']
321,Aku suka tiktok,1,-1,Akusukatiktok,akusukatiktok,['akusukatiktok'],['akusukatiktok']
322,Perangkat bintang anda.,5,1,Perangkatbintanganda,perangkatbintanganda,['perangkatbintanganda'],['perangkatbintanganda']
323,Oke deh,5,1,Okedeh,okedeh,['okedeh'],['okedeh']
324,Ajay Da Costa,1,-1,AjayDaCosta,ajaydacosta,['ajaydacosta'],['ajaydacosta']
325,Thanya,1,-1,Thanya,thanya,['thanya'],['thanya']
326,Bagus tp banyak informasi hoax,4,1,Bagustpbanyakinformasihoax,bagustpbanyakinformasihoax,['bagustpbanyakinformasihoax'],['bagustpbanyakinformasihoax']
327,"Aplikasi gk ada gunanya,bikin HP lemot dan cpt rusak HP nya,jgn didownload, donlod yg lite aja yg versi ini bikin hp ngebleng",1,-1,AplikasigkadagunanyabikinHPlemotdancptrusakHPnyajgndidownloaddonlodygliteajaygversiinibikinhpngebleng,aplikasigkadagunanyabikinhplemotdancptrusakhpnyajgndidownloaddonlodygliteajaygversiinibikinhpngebleng,['aplikasigkadagunanyabikinhplemotdancptrusakhpnyajgndidownloaddonlodygliteajaygversiinibikinhpngebleng'],['aplikasigkadagunanyabikinhplemotdancptrusakhpnyajgndidownloaddonlodygliteajaygversiinibikinhpngebleng']
328,Di negara OMAN g bisa di buka tiktok y,2,-1,DinegaraOMANgbisadibukatiktoky,dinegaraomangbisadibukatiktoky,['dinegaraomangbisadibukatiktoky'],['dinegaraomangbisadibukatiktoky']
329,aku suka,5,1,akusuka,akusuka,['akusuka'],['akusuka']
330,Matap,5,1,Matap,matap,['matap'],['matap']
331,Mantap,5,1,Mantap,mantap,['mantap'],['mantap']
332,ا.طالي,4,1,,,[],[]
333,aplikasi ini bagus,5,1,aplikasiinibagus,aplikasiinibagus,['aplikasiinibagus'],['aplikasiinibagus']
334,"Mohon jangan di hapus draf kami, jika kami uninstal dan di instal lagi",2,-1,Mohonjangandihapusdrafkamijikakamiuninstaldandiinstallagi,mohonjangandihapusdrafkamijikakamiuninstaldandiinstallagi,['mohonjangandihapusdrafkamijikakamiuninstaldandiinstallagi'],['mohonjangandihapusdrafkamijikakamiuninstaldandiinstallagi']
335,Adinu Rema077,5,1,AdinuRema,adinurema,['adinurema'],['adinurema']
336,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
337,kenapa kalo simpan foto harus ada watermark nya sih,3,0,kenapakalosimpanfotoharusadawatermarknyasih,kenapakalosimpanfotoharusadawatermarknyasih,['kenapakalosimpanfotoharusadawatermarknyasih'],['kenapakalosimpanfotoharusadawatermarknyasih']
338,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
339,Penggunaan mudah mantabs,5,1,Penggunaanmudahmantabs,penggunaanmudahmantabs,['penggunaanmudahmantabs'],['penggunaanmudahmantabs']
340,"aplikasi yang sangat buruk, tidak ada api padahal sudah chattan selama lebih 3 hari.",1,-1,aplikasiyangsangatburuktidakadaapipadahalsudahchattanselamalebihhari,aplikasiyangsangatburuktidakadaapipadahalsudahchattanselamalebihhari,['aplikasiyangsangatburuktidakadaapipadahalsudahchattanselamalebihhari'],['aplikasiyangsangatburuktidakadaapipadahalsudahchattanselamalebihhari']
341,Bagu Alhamdulillah lancar,5,1,BaguAlhamdulillahlancar,bagualhamdulillahlancar,['bagualhamdulillahlancar'],['bagualhamdulillahlancar']
342,5 🫡,5,1,,,[],[]
343,Sangat baguss,5,1,Sangatbaguss,sangatbaguss,['sangatbaguss'],['sangatbaguss']
344,Aplikasi super duper lemott. Ram sering penuh sendiri .padahal sisa ram 3 gb lebih tapi waktu buka tiktok ram langsung habiss tinggal 200 mb,1,-1,AplikasisuperduperlemottRamseringpenuhsendiripadahalsisaramgblebihtapiwaktubukatiktokramlangsunghabisstinggalmb,aplikasisuperduperlemottramseringpenuhsendiripadahalsisaramgblebihtapiwaktubukatiktokramlangsunghabisstinggalmb,['aplikasisuperduperlemottramseringpenuhsendiripadahalsisaramgblebihtapiwaktubukatiktokramlangsunghabisstinggalmb'],['aplikasisuperduperlemottramseringpenuhsendiripadahalsisaramgblebihtapiwaktubukatiktokramlangsunghabisstinggalmb']
345,Alina,3,0,Alina,alina,['alina'],['alina']
346,Bgsa,2,-1,Bgsa,bgsa,['bgsa'],['bgsa']
347,api aku ngga nyala padahal udah 3 hari chatan,2,-1,apiakungganyalapadahaludahharichatan,apiakungganyalapadahaludahharichatan,['apiakungganyalapadahaludahharichatan'],['apiakungganyalapadahaludahharichatan']
348,Ok,5,1,Ok,ok,['ok'],[]
349,Elia gon,5,1,Eliagon,eliagon,['eliagon'],['eliagon']
350,Aku Mau account pertamaku kembali,1,-1,AkuMauaccountpertamakukembali,akumauaccountpertamakukembali,['akumauaccountpertamakukembali'],['akumauaccountpertamakukembali']
351,bagus,5,1,bagus,bagus,['bagus'],['bagus']
352,Terhibur,5,1,Terhibur,terhibur,['terhibur'],['terhibur']
353,bagus sekali,5,1,bagussekali,bagussekali,['bagussekali'],['bagussekali']
354,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
355,Ok,5,1,Ok,ok,['ok'],[]
356,Sangat buruk udah di perbaharui satu minggu mental lagi 🤬🤬,1,-1,Sangatburukudahdiperbaharuisatuminggumentallagi,sangatburukudahdiperbaharuisatuminggumentallagi,['sangatburukudahdiperbaharuisatuminggumentallagi'],['sangatburukudahdiperbaharuisatuminggumentallagi']
357,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
358,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
359,Mantap,5,1,Mantap,mantap,['mantap'],['mantap']
360,Tiktok ini itu bagus sekali karna orangsemua bisa dapat premium tiktok🤩,5,1,Tiktokiniitubagussekalikarnaorangsemuabisadapatpremiumtiktok,tiktokiniitubagussekalikarnaorangsemuabisadapatpremiumtiktok,['tiktokiniitubagussekalikarnaorangsemuabisadapatpremiumtiktok'],['tiktokiniitubagussekalikarnaorangsemuabisadapatpremiumtiktok']
361,Sangat bagus dan nyaman dalam bermain media sosial yang satu ini. Puas banget..,5,1,SangatbagusdannyamandalambermainmediasosialyangsatuiniPuasbanget,sangatbagusdannyamandalambermainmediasosialyangsatuinipuasbanget,['sangatbagusdannyamandalambermainmediasosialyangsatuinipuasbanget'],['sangatbagusdannyamandalambermainmediasosialyangsatuinipuasbanget']
362,"Makin jelek fitur ""hapus semua"" di riwayat tontonan/apapun itu ga ada? Capekk min ngapus satu satu",3,0,MakinjelekfiturhapussemuadiriwayattontonanapapunitugaadaCapekkminngapussatusatu,makinjelekfiturhapussemuadiriwayattontonanapapunitugaadacapekkminngapussatusatu,['makinjelekfiturhapussemuadiriwayattontonanapapunitugaadacapekkminngapussatusatu'],['makinjelekfiturhapussemuadiriwayattontonanapapunitugaadacapekkminngapussatusatu']
363,Wow sumpah bagus bgtttt suka bangetttt😍😍😍😍😍,5,1,Wowsumpahbagusbgttttsukabangetttt,wowsumpahbagusbgttttsukabangetttt,['wowsumpahbagusbgttttsukabangetttt'],['wowsumpahbagusbgttttsukabangetttt']
364,Kenapa tidak bisa to up lewat allikssi,5,1,Kenapatidakbisatouplewatallikssi,kenapatidakbisatouplewatallikssi,['kenapatidakbisatouplewatallikssi'],['kenapatidakbisatouplewatallikssi']
365,👍,5,1,,,[],[]
366,"ga bisa login kocak,serverlu stres",1,-1,gabisaloginkocakserverlustres,gabisaloginkocakserverlustres,['gabisaloginkocakserverlustres'],['gabisaloginkocakserverlustres']
367,Aplikasi ini sangat bagus sekali.,4,1,Aplikasiinisangatbagussekali,aplikasiinisangatbagussekali,['aplikasiinisangatbagussekali'],['aplikasiinisangatbagussekali']
368,Bagus banget,5,1,Bagusbanget,bagusbanget,['bagusbanget'],['bagusbanget']
369,Alwi 3B,4,1,AlwiB,alwib,['alwib'],['alwib']
370,Baik,5,1,Baik,baik,['baik'],['baik']
371,Sangat bagus terima kasih,5,1,Sangatbagusterimakasih,sangatbagusterimakasih,['sangatbagusterimakasih'],['sangatbagusterimakasih']
372,Ok,5,1,Ok,ok,['ok'],[]
373,Kerennya,5,1,Kerennya,kerennya,['kerennya'],['kerennya']
374,Aplikasi ini sangat berguna 👍,5,1,Aplikasiinisangatberguna,aplikasiinisangatberguna,['aplikasiinisangatberguna'],['aplikasiinisangatberguna']
375,Aplikasi nya bagus banget saya sangat suka👍👍,5,1,Aplikasinyabagusbangetsayasangatsuka,aplikasinyabagusbangetsayasangatsuka,['aplikasinyabagusbangetsayasangatsuka'],['aplikasinyabagusbangetsayasangatsuka']
376,Aku suka suka,5,1,Akusukasuka,akusukasuka,['akusukasuka'],['akusukasuka']
377,The best,5,1,Thebest,thebest,['thebest'],['thebest']
378,Aplikasi aku se hapus,5,1,Aplikasiakusehapus,aplikasiakusehapus,['aplikasiakusehapus'],['aplikasiakusehapus']
379,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
380,Oke bagus seru hiburan,5,1,Okebagusseruhiburan,okebagusseruhiburan,['okebagusseruhiburan'],['okebagusseruhiburan']
381,Good TikTok can make us happy and can increase our ties with many people 🫰,4,1,GoodTikTokcanmakeushappyandcanincreaseourtieswithmanypeople,goodtiktokcanmakeushappyandcanincreaseourtieswithmanypeople,['goodtiktokcanmakeushappyandcanincreaseourtieswithmanypeople'],['goodtiktokcanmakeushappyandcanincreaseourtieswithmanypeople']
382,Sunmoon,5,1,Sunmoon,sunmoon,['sunmoon'],['sunmoon']
383,Bermanfaat,5,1,Bermanfaat,bermanfaat,['bermanfaat'],['bermanfaat']
384,গকুল নম,1,-1,,,[],[]
385,Tiktok seruh,5,1,Tiktokseruh,tiktokseruh,['tiktokseruh'],['tiktokseruh']
386,Sering error,1,-1,Seringerror,seringerror,['seringerror'],['seringerror']
387,Oke,5,1,Oke,oke,['oke'],['oke']
388,Gara gara ngelag hp langsung error meski buka batre baru normal ...untuk hp Ram 3 ..tiktok terasa berat APK nya,3,0,GaragarangelaghplangsungerrormeskibukabatrebarunormaluntukhpRamtiktokterasaberatAPKnya,garagarangelaghplangsungerrormeskibukabatrebarunormaluntukhpramtiktokterasaberatapknya,['garagarangelaghplangsungerrormeskibukabatrebarunormaluntukhpramtiktokterasaberatapknya'],['garagarangelaghplangsungerrormeskibukabatrebarunormaluntukhpramtiktokterasaberatapknya']
389,Buriq,1,-1,Buriq,buriq,['buriq'],['buriq']
390,"Tiktok sekrng jelek kurang bagus udh ngk bisa di buka kalau di buka CMN logo tiktok yg kluar hitam trus,,,masa biar normal lagi harus apus aplikasi trus download ulang sih tolong di perbaiki aplikasi tiktokx",1,-1,TiktoksekrngjelekkurangbagusudhngkbisadibukakalaudibukaCMNlogotiktokygkluarhitamtrusmasabiarnormallagiharusapusaplikasitrusdownloadulangsihtolongdiperbaikiaplikasitiktokx,tiktoksekrngjelekkurangbagusudhngkbisadibukakalaudibukacmnlogotiktokygkluarhitamtrusmasabiarnormallagiharusapusaplikasitrusdownloadulangsihtolongdiperbaikiaplikasitiktokx,['tiktoksekrngjelekkurangbagusudhngkbisadibukakalaudibukacmnlogotiktokygkluarhitamtrusmasabiarnormallagiharusapusaplikasitrusdownloadulangsihtolongdiperbaikiaplikasitiktokx'],['tiktoksekrngjelekkurangbagusudhngkbisadibukakalaudibukacmnlogotiktokygkluarhitamtrusmasabiarnormallagiharusapusaplikasitrusdownloadulangsihtolongdiperbaikiaplikasitiktokx']
391,🙏🏻,5,1,,,[],[]
392,"Tiktok bagus buat hiburan, tapi Tiktok saya sering GK bisa d buka d download lg "" sering kaya gtu ini dh kesekian x nya...gmn sich GK pernah anteng ?!",3,0,TiktokbagusbuathiburantapiTiktoksayaseringGKbisadbukaddownloadlgseringkayagtuinidhkesekianxnyagmnsichGKpernahanteng,tiktokbagusbuathiburantapitiktoksayaseringgkbisadbukaddownloadlgseringkayagtuinidhkesekianxnyagmnsichgkpernahanteng,['tiktokbagusbuathiburantapitiktoksayaseringgkbisadbukaddownloadlgseringkayagtuinidhkesekianxnyagmnsichgkpernahanteng'],['tiktokbagusbuathiburantapitiktoksayaseringgkbisadbukaddownloadlgseringkayagtuinidhkesekianxnyagmnsichgkpernahanteng']
393,Nice,5,1,Nice,nice,['nice'],['nice']
394,Sangat bagus sekali aplikasi ini,4,1,Sangatbagussekaliaplikasiini,sangatbagussekaliaplikasiini,['sangatbagussekaliaplikasiini'],['sangatbagussekaliaplikasiini']
395,"Jos,,",5,1,Jos,jos,['jos'],['jos']
396,Ok,5,1,Ok,ok,['ok'],[]
397,HADITS BUDI LUHUR PEGANGAN MENUJU TENTERAM,5,1,HADITSBUDILUHURPEGANGANMENUJUTENTERAM,haditsbudiluhurpeganganmenujutenteram,['haditsbudiluhurpeganganmenujutenteram'],['haditsbudiluhurpeganganmenujutenteram']
398,Sangat menguntungkan dan banyak temen,5,1,Sangatmenguntungkandanbanyaktemen,sangatmenguntungkandanbanyaktemen,['sangatmenguntungkandanbanyaktemen'],['sangatmenguntungkandanbanyaktemen']
399,Bagus,4,1,Bagus,bagus,['bagus'],['bagus']
400,Bisa,5,1,Bisa,bisa,['bisa'],[]
401,😍,3,0,,,[],[]
402,Apk nx bagus sekali,4,1,Apknxbagussekali,apknxbagussekali,['apknxbagussekali'],['apknxbagussekali']
403,Bagus kita ikut mengetahui berita dr dalam negeri maupun manca negara.. Lanjutkan,4,1,BaguskitaikutmengetahuiberitadrdalamnegerimaupunmancanegaraLanjutkan,baguskitaikutmengetahuiberitadrdalamnegerimaupunmancanegaralanjutkan,['baguskitaikutmengetahuiberitadrdalamnegerimaupunmancanegaralanjutkan'],['baguskitaikutmengetahuiberitadrdalamnegerimaupunmancanegaralanjutkan']
404,Ruben Q,5,1,RubenQ,rubenq,['rubenq'],['rubenq']
405,Ok,4,1,Ok,ok,['ok'],[]
406,Intinya aja deh,5,1,Intinyaajadeh,intinyaajadeh,['intinyaajadeh'],['intinyaajadeh']
407,Baik sekali,5,1,Baiksekali,baiksekali,['baiksekali'],['baiksekali']
408,Good,5,1,Good,good,['good'],['good']
409,"tiktok is The REAL best social media; ""👍🏼👍🏼NUMBERO UNO👍🏼👍🏼"" because now in my country ""no VIRAL no JUSTICE""",5,1,tiktokisTheREALbestsocialmediaNUMBEROUNObecausenowinmycountrynoVIRALnoJUSTICE,tiktokistherealbestsocialmedianumberounobecausenowinmycountrynoviralnojustice,['tiktokistherealbestsocialmedianumberounobecausenowinmycountrynoviralnojustice'],['tiktokistherealbestsocialmedianumberounobecausenowinmycountrynoviralnojustice']
410,Tik tok,5,1,Tiktok,tiktok,['tiktok'],['tiktok']
411,Baik,5,1,Baik,baik,['baik'],['baik']
412,aplikasi yg sangat bagus,5,1,aplikasiygsangatbagus,aplikasiygsangatbagus,['aplikasiygsangatbagus'],['aplikasiygsangatbagus']
413,Keren,5,1,Keren,keren,['keren'],['keren']
414,Kenapa akhir² ini tiktok boros kuota,1,-1,Kenapaakhirinitiktokboroskuota,kenapaakhirinitiktokboroskuota,['kenapaakhirinitiktokboroskuota'],['kenapaakhirinitiktokboroskuota']
415,😻,1,-1,,,[],[]
416,Favite gua,1,-1,Favitegua,favitegua,['favitegua'],['favitegua']
417,Bilalwesly,5,1,Bilalwesly,bilalwesly,['bilalwesly'],['bilalwesly']
418,J'aime Tik tok. Merci beaucoup: 🙏,5,1,JaimeTiktokMercibeaucoup,jaimetiktokmercibeaucoup,['jaimetiktokmercibeaucoup'],['jaimetiktokmercibeaucoup']
419,Yourg single,1,-1,Yourgsingle,yourgsingle,['yourgsingle'],['yourgsingle']
420,Good 👍👍👍,5,1,Good,good,['good'],['good']
421,Sangat membantu,5,1,Sangatmembantu,sangatmembantu,['sangatmembantu'],['sangatmembantu']
422,Dedy,5,1,Dedy,dedy,['dedy'],['dedy']
423,Masa depan tidak ada yg tau gak sih tawa sutra dahsyat inbox insert intens kiss klik koki kompas dan aku nmba 100 om om momod numpang nanya nih gan,3,0,Masadepantidakadaygtaugaksihtawasutradahsyatinboxinsertintenskissklikkokikompasdanakunmbaomommomodnumpangnanyanihgan,masadepantidakadaygtaugaksihtawasutradahsyatinboxinsertintenskissklikkokikompasdanakunmbaomommomodnumpangnanyanihgan,['masadepantidakadaygtaugaksihtawasutradahsyatinboxinsertintenskissklikkokikompasdanakunmbaomommomodnumpangnanyanihgan'],['masadepantidakadaygtaugaksihtawasutradahsyatinboxinsertintenskissklikkokikompasdanakunmbaomommomodnumpangnanyanihgan']
424,Tidak baik,1,-1,Tidakbaik,tidakbaik,['tidakbaik'],['tidakbaik']
425,tiktok k*nt*l bikin orang enek ngabisin kuota doank t@i..!!!,1,-1,tiktokkntlbikinorangenekngabisinkuotadoankt,tiktokkntlbikinorangenekngabisinkuotadoankt,['tiktokkntlbikinorangenekngabisinkuotadoankt'],['tiktokkntlbikinorangenekngabisinkuotadoankt']
426,OK banget,5,1,OKbanget,okbanget,['okbanget'],['okbanget']
427,Aplikasi tolol ga bisa mempertimbangkan mana yang melanggar panduan mana yang nggak,1,-1,Aplikasitololgabisamempertimbangkanmanayangmelanggarpanduanmanayangnggak,aplikasitololgabisamempertimbangkanmanayangmelanggarpanduanmanayangnggak,['aplikasitololgabisamempertimbangkanmanayangmelanggarpanduanmanayangnggak'],['aplikasitololgabisamempertimbangkanmanayangmelanggarpanduanmanayangnggak']
428,FILIPUS HOTTUA EM NAINGGOLAN,5,1,FILIPUSHOTTUAEMNAINGGOLAN,filipushottuaemnainggolan,['filipushottuaemnainggolan'],['filipushottuaemnainggolan']
429,TurLock,1,-1,TurLock,turlock,['turlock'],['turlock']
430,Hiburan mendukung,5,1,Hiburanmendukung,hiburanmendukung,['hiburanmendukung'],['hiburanmendukung']
431,Kenapa saya tidak bisa follback orang yang mengikuti ku ? Dan kenapa saya tidak bisa posting video? Tolong dijawab,5,1,KenapasayatidakbisafollbackorangyangmengikutikuDankenapasayatidakbisapostingvideoTolongdijawab,kenapasayatidakbisafollbackorangyangmengikutikudankenapasayatidakbisapostingvideotolongdijawab,['kenapasayatidakbisafollbackorangyangmengikutikudankenapasayatidakbisapostingvideotolongdijawab'],['kenapasayatidakbisafollbackorangyangmengikutikudankenapasayatidakbisapostingvideotolongdijawab']
432,ap nya baik..I will best know how much you want you..👊😻😻,5,1,apnyabaikIwillbestknowhowmuchyouwantyou,apnyabaikiwillbestknowhowmuchyouwantyou,['apnyabaikiwillbestknowhowmuchyouwantyou'],['apnyabaikiwillbestknowhowmuchyouwantyou']
433,Great Application,5,1,GreatApplication,greatapplication,['greatapplication'],['greatapplication']
434,Sangat sangat bagus saya suka saya suka 😍,5,1,Sangatsangatbagussayasukasayasuka,sangatsangatbagussayasukasayasuka,['sangatsangatbagussayasukasayasuka'],['sangatsangatbagussayasukasayasuka']
435,Dikit dikit pelanggaran. Tiktok se alay itukah,1,-1,DikitdikitpelanggaranTiktoksealayitukah,dikitdikitpelanggarantiktoksealayitukah,['dikitdikitpelanggarantiktoksealayitukah'],['dikitdikitpelanggarantiktoksealayitukah']
436,Keren tiktok sop luar biasa bagus,5,1,Kerentiktoksopluarbiasabagus,kerentiktoksopluarbiasabagus,['kerentiktoksopluarbiasabagus'],['kerentiktoksopluarbiasabagus']
437,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
438,"Tiktok anj, napa dah tiap gw buka tiktok pasti eror atau ngedlay gitu, persaan penyimpanan gw besar jaringan gw bagus tapi napa tiap gw buka tiktok selalu delay bgst. Tiap gw baru buka tt beberapa menit kayak 30menit gitu pasti tr gw udah delay & sampah chace gw banyak amat padahal cuma buka beberapa menit gk smpe 15 menit sampah chace nya udah 2.4 gb aja",1,-1,TiktokanjnapadahtiapgwbukatiktokpastierorataungedlaygitupersaanpenyimpanangwbesarjaringangwbagustapinapatiapgwbukatiktokselaludelaybgstTiapgwbarubukattbeberapamenitkayakmenitgitupastitrgwudahdelaysampahchacegwbanyakamatpadahalcumabukabeberapamenitgksmpemenitsampahchacenyaudahgbaja,tiktokanjnapadahtiapgwbukatiktokpastierorataungedlaygitupersaanpenyimpanangwbesarjaringangwbagustapinapatiapgwbukatiktokselaludelaybgsttiapgwbarubukattbeberapamenitkayakmenitgitupastitrgwudahdelaysampahchacegwbanyakamatpadahalcumabukabeberapamenitgksmpemenitsampahchacenyaudahgbaja,['tiktokanjnapadahtiapgwbukatiktokpastierorataungedlaygitupersaanpenyimpanangwbesarjaringangwbagustapinapatiapgwbukatiktokselaludelaybgsttiapgwbarubukattbeberapamenitkayakmenitgitupastitrgwudahdelaysampahchacegwbanyakamatpadahalcumabukabeberapamenitgksmpemenitsampahchacenyaudahgbaja'],['tiktokanjnapadahtiapgwbukatiktokpastierorataungedlaygitupersaanpenyimpanangwbesarjaringangwbagustapinapatiapgwbukatiktokselaludelaybgsttiapgwbarubukattbeberapamenitkayakmenitgitupastitrgwudahdelaysampahchacegwbanyakamatpadahalcumabukabeberapamenitgksmpemenitsampahchacenyaudahgbaja']
439,Error 🤧 saya tidak bisa melihat orang level tinggi terbang,1,-1,Errorsayatidakbisamelihatorangleveltinggiterbang,errorsayatidakbisamelihatorangleveltinggiterbang,['errorsayatidakbisamelihatorangleveltinggiterbang'],['errorsayatidakbisamelihatorangleveltinggiterbang']
440,Bagus sekali ♥️,5,1,Bagussekali,bagussekali,['bagussekali'],['bagussekali']
