text,sentiment
tiktok rame ngelag,Negative
download sinyal bagus,Negative
buka apk ya,Positif
bug,Positif
apk ya tolong baik dang kadang bug,Positif
apa vidionya isi moral banget anak sopan malu telanjang baned pakai pakai kayak orang mesum tolol banget,Negative
tik tok ya update gambar ya suara doang tolong baik,Positif
anjay,Negative
sayang nge install aplikasi ya,Negative
hp eror enek banget paslagi tonton terkadang hp panas,Negative
ups,Positif
apk tiktok invalid hp,Negative
syarat fyp tiktok woi,Positif
sukses tiktok,Positif
jelek anjjng bug mulu macet logo anjing,Negative
instal,Negative
aplikasi bagus,Negative
tiktok update,Negative
pokok seru deh,Negative
oy dk pcak buka lmo nn,Negative
kasih solusi peripikasi akun lupa id sandi ya akun tiktok asnawi tolong,Positif
alami bug,Negative
main ep ep,Negative
tik tok is the best,Positif
aplikasi bagusdan yaman,Negative
internet kuota mulu tolong baik akun leolatteaneh tiktok kuota jaring,Negative
erooorrrr eror ros banget eror pas buka moga tingkatin deh,Positif
cacat streak gue ajg hilang,Negative
ngebag masuk uninstal donlot,Negative
zara putih putih cantik killua,Negative
banget vidio guna diy barang bekasdll,Positif
tiktok alami bugaplikasi bukajadi hapus mendownload ya mohon bantu ya,Positif
bagus sih,Negative
chat tiktok,Positif
tiktok kayak sih update bug fotovideo simpan buka tiktok suka stuck logo kadang chat ditiktok suka kadang ngeleg parah tiktoknya geser tolong baik baik jelek update jelek,Negative
seru bagus,Negative
cool,Positif
kau suka bunga kau petik diya mati kau cinta bunga biar diya cinta milik harga,Positif
jelek,Negative
bagus banget aplikasi ya sedih hibur,Positif
mantuil,Negative
update min,Negative
bagussssssayaa sukaaaaaaa,Positif
pls mending bebener apk berat banget nying ngapa coba kudu tiktok shop fitur simpan poto hapus pnte mending tuh tiktok shop hapus tolong woi sadar asih rating gua,Negative
perintah maaf penuh syarat tiktok yeyeyee ya bos,Positif
tiktok sedia buat video promosi tiktok nak langgar tiktok jebak affiliate,Positif
